ID,Mesa,Compromiso en el anteproyecto
REC_001,Mesa 1 - Transición Socioecologica Justa,PTSEJ1) Implementar la Estrategia Nacional de Transición Socioecológica Justa 2025- 2035.
REC_002,Mesa 1 - Transición Socioecologica Justa,"PTSEJ2) A 2028, Chile contará con una metodología de medición de variables socioeconómicas que permita gestionar, a nivel sectorial, la transición laboral justa de los empleos impactados por el cambio climático."
REC_003,Mesa 1 - Transición Socioecologica Justa,"PTSEJ3) A 2035, cada Plan Sectorial de Mitigación o de Adaptación al Cambio Climático habrá implementado al menos una medida que contribuya a la protección del empleo y/o a la reconversión laboral en actividades productivas vulnerables al cambio climático, o que sean sujetas de medidas de mitigación de GEI."
REC_004,Mesa 1 - Transición Socioecologica Justa,"PTSEJ4) A 2029, los informes de evaluación de los instrumentos de gestión de cambio climático medirán los costos y beneficios económicos, ambientales y sociales de las políticas climáticas, integrando indicadores de salud, empleo, equidad de género y reducción de la pobreza, entre otros. Asimismo, incorporarán información desagregada por grupos vulnerables, de acuerdo con una metodología estandarizada que se pondrá a disposición a más tardar el año 2027."
REC_005,Mesa 1 - Transición Socioecologica Justa,"PTSEJ5) A 2026, los Planes Comunales de Cambio Climático de los territorios en transición definidos en la ETSEJ, incluirán los lineamientos de la ETSEJ."
REC_006,Mesa 1 - Transición Socioecologica Justa,Desarrollo de Capacidades y Pertinencia Territorial en Transición
REC_007,Mesa 2 - Transición Energética,"Contribución M1) 
Chile se compromete a un presupuesto de emisiones de GEI que no superará las 1.100 MtCO2eq entre 2020 y 2030, con un máximo de emisiones (peak) de GEI a 2025, y a alcanzar un nivel de emisiones de GEI de 95 MtCO2eq a 2030-. Adicionalmente, Chile se compromete a un presupuesto nacional de emisiones de GEI que no superará las 490 MtCO2eq, entre 2031 y 2035, y a alcanzar un nivel de emisiones de GEI de 91 MtCO2eq a 2035."
REC_008,Mesa 2 - Transición Energética,"Contribución M2) 
Elaborar, implementar y actualizar 7 planes sectoriales de mitigación (Transporte, Energía, Ciudades, Minería, Infraestructura, Residuos y Agricultura) definidos por la Ley N° 21.455, Marco de Cambio Climático, para garantizar el cumplimiento del presupuesto nacional de emisiones de GEI."
REC_009,Mesa 2 - Transición Energética,"Contribución M3) 
Promover cambios modales hacia transporte bajos en emisiones a nivel marítimo, ferroviario y terrestre."
REC_010,Mesa 2 - Transición Energética,"Contribución M4) 
Ampliar la participación de organizaciones en el sistema de certificación voluntaria de gases de efecto invernadero y uso del agua (Programa Huella Chile), alcanzando, a 2030, al 20% del total de emisiones reportadas en comparación con el total de emisiones del inventario nacional de Chile"
REC_011,Mesa 2 - Transición Energética,"Contribución M5) 
Establecer una meta de eficiencia energética a 2035, equivalente a la meta de la Ley N° 21.305, respecto de la intensidad de eficiencia energética de un año de referencia.








"
REC_012,Mesa 2 - Transición Energética,"Recomendación a nivel general del capítulo.
Tema: Desarrollo Territorial y Financiamiento en la Transición Energética"
REC_013,Mesa 2 - Transición Energética,"Recomendación a nivel general del capítulo.
Tema: Eficiencia energética para la mitigación y el uso racional de la energía"
REC_014,Mesa 3 - Forzantes Climáticos Vida Corta,"Contribución M6) 
Una reducción de al menos un 25% de las emisiones totales de carbono negro a 2030 respecto a los niveles estimados para el sector energía del Inventario Nacional de Emisiones a 2016. El cumplimiento de este compromiso considera las medidas relacionadas a la reducción de emisiones de GEI, y acciones específicas para mejorar los niveles de contaminación del aire"
REC_015,Mesa 3 - Forzantes Climáticos Vida Corta,"Contribución M7) 
Alcanzar un máximo de emisiones (peak) de CH4 a 2025. Adicionalmente, se compromete una reducción de un 10% al 2035 con respecto al máximo."
REC_016,Mesa 3 - Forzantes Climáticos Vida Corta,"Contribución M8) 

Elaborar a 2028 una regulación sobre los gases HFCs de uso nacional en grandes superficies refrigeradas, o en sectores de alto crecimiento y capacidad de transición, como el transporte y la climatización privada."
REC_017,Mesa 3 - Forzantes Climáticos Vida Corta,"Recomendación a nivel general del capítulo.
Tema: Monitoreo y Transparencia en Medidas de Mitigación Climática:"
REC_018,Mesa 3 - Forzantes Climáticos Vida Corta,"Recomendación a nivel general del capítulo.
Tema: Estrategias integradas para la mitigación de emisiones"
REC_019,Mesa 4 - Economía Circular,"Contribución M9) 


Chile se compromete a potenciar la valorización de residuos orgánicos en el país, llegando a un 30% al 2030 mediante la aprobación del proyecto de ley actualmente en trámite."
REC_020,Mesa 4 - Economía Circular,"Contribución M10) 

Reducir la cantidad de residuos generados por pérdida y desperdicio de alimentos."
REC_021,Mesa 4 - Economía Circular,"Recomendación a nivel general del capítulo.

Tema: Monitoreo y Evaluación de Intervenciones en Economía Circular"
REC_022,Mesa 4 - Economía Circular,"Recomendación a nivel general del capítulo.

Integración de residuos industriales y sectoriales en la economía circular"
REC_023,Adaptación,"A1) Evaluación del impacto, del riesgo y de la vulnerabilidad, la planificación, la implementación y el monitoreo, evaluación y aprendizaje. Esto considera los siguientes compromisos:"
REC_024,Adaptación,"Contribución A1 a)
A 2030, se habrá implementado el Plan Nacional de Adaptación al Cambio Climático 2025-2028 (en actualización en 2024 en el marco de la LMCC), dando lineamientos estratégicos para los planes sectoriales de adaptación, y contando con una evaluación y lecciones aprendidas que serán aplicadas para su tercer ciclo de actualización."
REC_025,Adaptación,"Contribución A1 b
A 2030, se habrán implementado los 12 Planes Sectoriales de Adaptación."
REC_026,Adaptación,"Contribución A1 c
A 2030, se habrán evaluado los Planes Sectoriales de Adaptación, y se contará con las lecciones aprendidas que serán aplicadas para la actualización de estos planes."
REC_027,Adaptación,"Contribución A1 d
A 2028, se contará con un inventario nacional de impactos del cambio climático en Chile, que incluirá la evaluación de costos de la inacción y de las pérdidas y daños, y que será parte de la Plataforma de Adaptación Climática (Atlas de Riesgos Climático)."
REC_028,Adaptación,"Contribución A1 e)
A 2031, los planes sectoriales de adaptación actualizados cuentan con estándares y lineamientos transversales sobre grupos vulnerables al cambio climático, la reducción de las brechas de género, la consideración de soluciones basadas en la naturaleza y el enfoque de reducción del riesgo de desastres."
REC_029,Adaptación,"Contribución A1 f)
A 2026, se contará con indicadores de seguimiento y de resultado de los planes sectoriales y del Plan Nacional de Adaptación, y a 2028 se contará con índices de resiliencia climática que establezcan criterios específicos para facilitar la medición transversal en el avance de la adaptación y resiliencia climática."
REC_030,Adaptación,"Contribución A1 g)
A 2025, se implementará y alimentará un registro de acciones de adaptación de actores no gubernamentales, y a 2027 se tendrá una plataforma de experiencias de adaptación de actores no estatales como parte del Sistema Nacional de Acceso a la Información y Participación Ciudadana sobre Cambio Climático."
REC_031,Adaptación,"Contribución A1 j)
A 2030, se habrá completado la implementación de la Política Nacional para la Reducción del Riesgo de Desastres 2019-2030, la que se ha armonizado al Marco de Sendai para la Reducción del Riesgo de Desastres, al Acuerdo de París y a la Agenda 2030 para el Desarrollo Sostenible. A 2035, Chile fortalecerá el monitoreo y los sistemas de alerta temprana de riesgos asociados al cambio climático, y habrá comenzado la implementación de intervenciones para aumentar la resiliencia."
REC_032,Adaptación,"Contribución A1 k)
A 2030, se contará con una evaluación sobre el avance en la implementación de sistemas de alerta temprana de eventos meteorológicos extremos, que considerará a los grupos vulnerables y la movilidad humana."
REC_033,Mesa 5 - Seguridad Hídrica,"A2) Reducir significativamente la escasez hídrica inducida por el cambio climático y mejorar la resiliencia climática ante peligros relacionados con el agua, avanzar hacia un suministro de agua y saneamiento resilientes al clima, y hacia el acceso a agua potable segura y asequible para toda la población. Esto considera los siguientes compromisos:"
